Structure [idcode],Structure No,Catalog ID,Plate_ID,Well,"V, ÂµL","Conc, mM",Formula,SMILES,MW,Purity,PO,MW_salt,Stereochem.data,Geometric.isomer,Chemical name,ClogP,logS,HBD,HBA,TPSA,RotBonds,% inh rep1,% inh rep2
fdiaa@KHpX@QBPrRRqIYJZJBeK@ASUP@@ !B?Xbw_PJwb@K~@Ha}bOrH@hc}bOrH?_y?bOrH?_x@bOs~_p,320,Z2936916678,1907006-Y10-01,P22,10,10,C12H16FNO3S,CC(C)N(C)C(Cc(cc1)ccc1S(F)(=O)=O)=O,273.3237,94.2,27521095,0,Achiral,None,4-{[methyl(propan-2-yl)carbamoyl]methyl}benzene-1-sulfonyl fluoride,"1,967","-2,097",0,3,"54,45",4,6.245756959,9.174964438
fjmPQ@CNQ`f`ADICIIJhheDlXdeVrVV``Xjjb@@ !Bb@I}b@Jwmwvw@k]}?`C~_{\BmpJH?[_}?`C~@Oy?mwvH__y??g~H_P,321,Z3919178584,1907006-Y10-02,A03,10,10,C13H17FN2O4S,Nc(cc1)cc(OS(F)(=O)=O)c1C(NC1CCCCC1)=O,316.3485,92.9,27521095,0,Achiral,None,5-amino-2-(cyclohexylcarbamoyl)phenyl sulfurofluoridate,"0,409","-3,928",2,4,"98,49",4,-1.493550577,-15.2916074
fak`Q@CHqkH@bDaddebRfaRbbbQDjNV}e`BFjPh@`@@ !BGvTZGv@ZYVATaM~fYVAeXERDwz[@fVU`UHQeXA|ZKAc~@K_}Tq`@?k_|m?rw_P,322,Z2759863483,1907006-Y10-02,B03,10,10,C17H14FNO4S,Cc1c(CNC(c2cccc(S(F)(=O)=O)c2)=O)c(cccc2)c2[o]1,347.3608,98.48,27521095,0,Achiral,None,3-{[(2-methyl-1-benzofuran-3-yl)methyl]carbamoyl}benzene-1-sulfonyl fluoride,"4,512","-4,647",1,3,"76,38",4,31.05022831,16.08391608
fdy`S@DPlFH@apQzPrRSIJEKIRLyhruT@ERp@@ !BEOak~A_SZMOjHNi_yU}k~@@fzbCjH@@fzb@@I`@fIg}Y@@,323,Z3919191070,1907006-Y10-02,C03,10,10,C10H12FNO4S2,O=S(Oc(cc1)ccc1N=S1(CCCC1)=O)(F)=O,293.335,98.6,27521095,0,Achiral,None,4-[(1-oxo-1lambda6-thiolan-1-ylidene)amino]phenyl sulfurofluoridate,"0,208","-4,021",0,4,"72,8",3,3.261578604,1.335028608
figaa@CHqh@QBPrRRqISPqQIJKHRoQrwhyX@ajBBbbH@@ !Bm@\Gbwbtbw`?jRhPbwbK^C~iJaBK^EUoGA^_Q[OG`@gA_?Jo|j}oJlE?`@fsqy}E,324,Z2759815092,1907006-Y10-02,D03,10,10,C19H18FNO3S,O=C(c1cccc(S(F)(=O)=O)c1)N(CC12CCCC1)c1c2cccc1,359.4145,98.12,27521095,0,Achiral,None,"3-({1',2'-dihydrospiro[cyclopentane-1,3'-indol]-1'-yl}carbonyl)benzene-1-sulfonyl fluoride","4,418","-5,543",0,3,"54,45",2,0.913242009,18.62682772
fhiPQ@KNQ`a`ADICIIJhdihmIZ]zV`BFjD@@ !B@hbw@gvwbOvH?Hc}?`BH?Hc|bOw~@Oy?bOrH?Ox@bOt,325,Z3919177195,1907006-Y10-02,E03,10,10,C9H7FN2O4S,CN(C=Nc(cc1)c2cc1OS(F)(=O)=O)C2=O,258.2263,100,27521095,0,Achiral,None,"3-methyl-4-oxo-3,4-dihydroquinazolin-6-yl sulfurofluoridate","-0,929","-2,645",0,4,"76,04",2,-5.931656995,-5.016722408
figac@CHqh@QBP[HYIIXdlihhdeELJWhy{T\l@DuAATQD@@ !BaEPkaKlkUKo@ifT_UKmTnvT_UKo@ifT_KF\_YUMg`CG~_}KOtl|?uld?Tv^@L\d?,326,Z2759729323,1907006-Y10-02,F03,10,10,C18H15F2NO3S,O=C(c(cc1)ccc1S(F)(=O)=O)N(CC12CCC1)c1c2c(F)ccc1,363.3784,96,27521095,0,Achiral,None,"4-({4'-fluoro-1',2'-dihydrospiro[cyclobutane-1,3'-indol]-1'-yl}carbonyl)benzene-1-sulfonyl fluoride","4,002","-5,303",0,3,"54,45",2,32.75306254,18.79598662
fjmPQ@AZQ`e`ADICIIJhdeeMHcIJBfV`@ijjb@@ !BNsmDNtQDNtQ?aXU?NtQ?aW~ENtP{QG~EaW|{QCmDQDP{NtQDNtQDQ@,327,Z4650038914,1907006-Y10-02,G03,10,10,C13H17FN2O4S,CC(C)(C1)CC1(C)C(Nc1cc(OS(F)(=O)=O)cnc1)=O,316.3485,100,27521095,0,Achiral,None,"5-(1,3,3-trimethylcyclobutaneamido)pyridin-3-yl sulfurofluoridate","1,386","-3,088",1,4,"85,36",4,-5.130007027,21.1398277
fakQa@CIQcP@bDaddebRfabbTRRDiMR}e`BFhJB``@@ !Bw}gFw|CFv\ADeA}Zv\CYpDRTGui`I]g@N@s_qox@bOumlD\Lb@JH?AJpqlBH_P,328,Z2759776849,1907006-Y10-02,H03,10,10,C17H17FN2O3S,CN(CCC1)c(cccc2)c2N1C(c1cccc(S(F)(=O)=O)c1)=O,348.3919,96.37,27521095,0,Achiral,None,"3-(5-methyl-2,3,4,5-tetrahydro-1H-1,5-benzodiazepine-1-carbonyl)benzene-1-sulfonyl fluoride","3,211","-4,469",0,4,"57,69",2,11.03302881,11.86216037
fhiqa@CV|cA@ADICIIJhdlheIJ]zV`@fjD@@ !BJ{nDJuRDnuP_YYg_nuP_YQ}enuP_YVT_Yrq??f]S?`@,329,Z3919179407,1907006-Y10-02,I03,10,10,C9H8FN3O3S,C[n]1ncnc1-c(cc1)ccc1OS(F)(=O)=O,257.2415,100,27521095,0,Achiral,None,"4-(1-methyl-1H-1,2,4-triazol-5-yl)phenyl sulfurofluoridate","-0,221","-2,891",0,4,"74,08",3,-3.746770026,3.428571429
fdi@R`DXHX@QBP}HAdHrFRRUQIYRZRRiZ@BjjHZH@@ !B@hbH?WvwmpK~@K\Bb@K~@Ox@b@K~@@C~?`A??ox@_?x@?`,330,Z3919185133,1907006-Y10-02,J03,10,10,C9H8F4O4S,CC(C(F)(F)F)(c(cc1)ccc1OS(F)(=O)=O)O,288.216,95,27521095,0,Racemic or presumed racemic or meso,None,"4-(1,1,1-trifluoro-2-hydroxypropan-2-yl)phenyl sulfurofluoridate","0,61","-3,336",1,3,"63,6",4,3.359173127,8.634920635
f`a`S@AHpRp@bDahHrRRjJIKRJMKPPHt@@@ !B?[^H_PJHmpJw_[\B?g?~@K]}mwvw@oy??[^w?@JH,331,Z3919190734,1907006-Y10-02,K03,10,10,C8H10FNO4S2,CS(C)(=Nc(cccc1)c1OS(F)(=O)=O)=O,267.2977,99,27521095,0,Achiral,None,2-{[dimethyl(oxo)-lambda6-sulfanylidene]amino}phenyl sulfurofluoridate,"-0,426","-2,807",0,4,"72,8",3,-9.689922481,-6.603174603
ff}aS@KHqhvPADIAPQddebRrdJbRfEIIYX@IZjjb@@ !B?K^H@gvHm?w~_{\Bmwvw?[\Bmwu}b@Jwm?vw?Ox@m?vw@k_|?`Bw_[\B,332,Z2759845926,1907006-Y10-02,L03,10,10,C13H18FNO5S2,COC(CCC1)CC1NS(c(cc1)ccc1S(F)(=O)=O)(=O)=O,351.4141,97.08,27521095,0,Diastereomeric mixture,Unequal mixture of geometric isomers,4-[(3-methoxycyclohexyl)sulfamoyl]benzene-1-sulfonyl fluoride,"3,225","-2,817",1,5,"89,54",4,10.76923077,11.47741148
fbuia@EN}EJLF@DPdLddjbRrfTRdeQSKUUSUKT@@ !BJ{nDJuRDnuP_YYg_nuP_YQ}enuP_YYg_nuP_YVT_Yrq??f]S?`@,333,Z3433789378,1907006-Y10-02,M03,10,10,C10H16FN5O3S,Cc1nnn[n]1CC(N1CCC(CS(F)(=O)=O)CC1)=O,305.3291,95.2,27521095,0,Achiral,None,"{1-[2-(5-methyl-1H-1,2,3,4-tetrazol-1-yl)acetyl]piperidin-4-yl}methanesulfonyl fluoride","-0,515","-0,382",0,6,"98,05",4,-5.418060201,-1.709401709
fi{Qa@CEQcP@bDaddebRfaTTRJbPeIst\l@PtAAUPP@@ !B?[^w@`JHbGw~_x`BbGvH__y?b@Jw?Xc}?g~w?Xc}?g~w?Oy?bGw~_v]SFELZGvT_,334,Z2759645935,1907006-Y10-02,N03,10,10,C18H19FN2O3S,Cc(cc(cc1)N2CCCC2)c1NC(c1cccc(S(F)(=O)=O)c1)=O,362.4185,93.18,27521095,0,Achiral,None,3-{[2-methyl-4-(pyrrolidin-1-yl)phenyl]carbamoyl}benzene-1-sulfonyl fluoride,"3,452","-4,699",1,4,"66,48",4,61.22853369,65.64986737
fbu`Q@MHpRp@bDaddeTRVRfdRdiNYZ@BfjhP@@ !BHNWjHE?jyU|T~p@fyU|T~qS{yU|T~~U__udT~q_SZMLT~Ni_yU|,335,Z4262324166,1907006-Y10-02,O03,10,10,C13H14FNO4S,CC1(CC=CC1)C(Nc(cc1)ccc1OS(F)(=O)=O)=O,299.318,96.6,27521095,0,Achiral,None,4-(1-methylcyclopent-3-ene-1-amido)phenyl sulfurofluoridate,"1,092","-3,471",1,3,"72,47",4,1.387054161,4.774535809
fncPp`KMQcQbu@DPdEABPcIIKDeeHXdiiARcfV@BVjjVJ@R@@ !B?[^H_PJHm?rw?_x@m?rw@ox@mpHBbOvwm?s~@K_}mpJw?Ox@mwt@?g?~?`@,336,Z2768302829,1907006-Y10-02,P03,10,10,C11H15FN2O6S3,NS(C(CCC1)CN1S(c(cc1)ccc1S(F)(=O)=O)(=O)=O)(=O)=O,386.44,97.21,27521095,0,Racemic or presumed racemic or meso,None,4-[(3-sulfamoylpiperidin-1-yl)sulfonyl]benzene-1-sulfonyl fluoride,"0,902","-2,629",1,6,"131,68",3,16.84280053,13.39522546
f`aAQ@DXtZp@bDaddebRfTQEJV@Bfh@@ !B_?{~_pC~?`BH@k\B?`C~@K\Bb@K~@Ox@bGvH@ox@,337,Z2907408780,1907006-Y10-02,A04,10,10,C9H9FO5S,CCOc(ccc(S(F)(=O)=O)c1)c1C(O)=O,248.2282,100,27521095,0,Achiral,None,2-ethoxy-5-(fluorosulfonyl)benzoic acid,"2,572","-2,326",1,5,"80,67",4,12.35573659,1.920341394
foAAc@AV\CDdDFdDfUmejcEZ`@jjTh\H@@ !Bb@JH?_x@b@JH@ox@bOvH@oy?b@JH__y?_?x@?`,338,Z3016381005,1907006-Y10-02,B04,10,10,C9H8BrFO3S,O=S(C1c(cc(cc2)Br)c2OCC1)(F)=O,295.1254,100,27521095,0,Racemic or presumed racemic or meso,None,"6-bromo-3,4-dihydro-2H-1-benzopyran-4-sulfonyl fluoride","2,691","-3,345",0,3,"43,37",1,4.957599478,-0.699300699
dcMLPJeLD@bICIIKDheJrpDD@@ !B@k^H@ovHmww~_{\Bmww~@K]}mpJw@`,339,Z2755014271,1907006-Y10-02,C04,10,10,C5H5FN2O3S,COc1nccnc1S(F)(=O)=O,192.1682,97.14,27521095,0,Achiral,None,3-methoxypyrazine-2-sulfonyl fluoride,"0,478","-0,646",0,5,"69,15",2,-4.305283757,1.589319771
fhiPc@AR|DDQXH]HILkkKmTYht@ETmJP@@ !BosGMsuLXosF?LULXosESFG?~FfAeXF\l?`C~@@C~_?x,340,Z4405556955,1907006-Y10-02,D04,10,10,C10H8ClFN2O2S,O=S(c1c[n](Cc(cc2)ccc2Cl)nc1)(F)=O,274.6991,100,27521095,0,Achiral,None,1-[(4-chlorophenyl)methyl]-1H-pyrazole-4-sulfonyl fluoride,"3,326","-2,538",0,3,"51,96",3,1.696020874,5.785123967
dk^DPMS@BHdLddlRTrF]NV@Bd`@ !Bm?s|bGvwbGvH@oy?bGvH__y?XAi`YRqg,341,Z2472524643,1907006-Y10-02,E04,10,10,C8H6FNO2S,O=S(c(cc1)cc2c1[nH]cc2)(F)=O,199.2021,98.83,27521095,0,Achiral,None,1H-indole-5-sulfonyl fluoride,"2,721","-2,776",1,2,"49,93",1,8.381689233,6.220735786
dklDpMLLPPaYCHhdhXiJZ@BjTcb@@ !BmpK~@K]}mpJw@k]}?`BH@k\B@k^H?GvH,342,Z3016380873,1907006-Y10-02,F04,10,10,C8H8BrFO2S,CC(c1cccc(Br)c1)S(F)(=O)=O,267.1153,100,27521095,0,Racemic or presumed racemic or meso,None,1-(3-bromophenyl)ethane-1-sulfonyl fluoride,"2,996","-3,33",0,2,"34,14",2,19.72920696,-1.003344482
do|JPDsk\@bICIIKEDdUIvVBBI`@@ !B?XbH@`Jwmwvw@oy??`Bw_[]}mpK~_{]}mpK~_p,343,Z1509518869,1907006-Y10-02,G04,10,10,C8H7FO5S,COc(cc(cc1)C(O)=O)c1S(F)(=O)=O,234.2016,95.14,27521095,0,Achiral,None,4-(fluorosulfonyl)-3-methoxybenzoic acid,"1,993","-1,989",1,5,"80,67",3,-11.7357695,-2.319416832
f`q@Q@DXXh@QBPrRRiJJIJF][tmTDDQ@@@ !Bb@HBm?vHm?w~_{]}?g~H_[]}XAk~_?y?KF^w_VAe,344,Z3333542454,1907006-Y10-02,H04,10,10,C10H11FO4S,O=S(CCOc1c2OCCc2ccc1)(F)=O,246.2553,100,27521095,0,Achiral,None,"2-(2,3-dihydro-1-benzofuran-7-yloxy)ethane-1-sulfonyl fluoride","2,047","-2,365",0,4,"52,6",4,-4.98945889,3.909874089
dg\BPDsS@HbPrRRqIYSCLl@Dt@@ !B_?{~_pC~?`Bw@h`B?`C~@H`B?`Bw@h`B?`@,345,Z2216274989,1907006-Y10-02,I04,10,10,C8H7FO4S,COC(c(cc1)ccc1S(F)(=O)=O)=O,218.2022,98.81,27521095,0,Achiral,None,methyl 4-(fluorosulfonyl)benzoate,"2,274","-2,167",0,3,"60,44",3,4.005167959,1.26984127
dg\LpDq`BHdEdLddjRbbqwKUA@@@@ !B_[^H__rHmpJw_[\Bmwvw@oy??`Bw_[]}?g|,346,Z3333541813,1907006-Y10-02,J04,10,10,C8H8F2O3S,O=S(CCOc(cccc1)c1F)(F)=O,222.2091,95,27521095,0,Achiral,None,2-(2-fluorophenoxy)ethane-1-sulfonyl fluoride,"1,906","-2,333",0,3,"43,37",4,7.235142119,2.793650794
do~DpCp`bHBDdLBdebRfRe[^V@BjH@@ !B}UFH_Wvw?Hbw?K_}?`Bw?K\B?`Bw?[\Bm?rw_P,347,Z4882491976,1907006-Y10-02,K04,10,10,C9H11ClFNO2S,O=S(c(cc1)cc2c1NCCC2)(F)=O.Cl,251.7055,100,27521095,36.4609,Achiral,None,"1,2,3,4-tetrahydroquinoline-6-sulfonyl fluoride hydrochloride","3,115","-2,477",1,3,"46,17",1,3.100775194,8.126984127
fakqc@BRKEoPQFPbladTTRbfQfRfRdXkd`i``jJ@HjTP@@ !B?`BH@k\BXFW~@Ox@KA`ZGv@ZmpH@?bn{@h`BmpC~@OxBb@Jw@Ox@?oy?@O{~@@,348,Z3919183843,1907006-Y10-02,L04,10,10,C15H13ClFN3O3S,CC[n]1c(-c(cc2)cc(OS(F)(=O)=O)c2N)nc2cccc(Cl)c12,369.7984,98.76,27521095,0,Achiral,None,"2-amino-5-(7-chloro-1-ethyl-1H-1,3-benzodiazol-2-yl)phenyl sulfurofluoridate","2,331","-5,061",1,4,"87,21",4,6.220735786,15.995116
do|BHDpe@HbPnP^PrRRjIJ[R]eh@bh@@ !B_?{~_pC~?`Bw@ox@mwvw@k\B?`Bw_[\B?`Bw_P,349,Z3919173497,1907006-Y10-02,M04,10,10,C7H5F3O4S,O=S(Oc1cc(OC(F)F)ccc1)(F)=O,242.1724,99.63,27521095,0,Achiral,None,3-(difluoromethoxy)phenyl sulfurofluoridate,"0,931","-2,825",0,3,"52,6",4,-3.946488294,0
do|JpDpmL@bI@PcIIJhheHe^V``V@@@ !B?[^H_PJHmpJw_[\B?g?~@K]}mwt@?g?~?`C~_p,350,Z3919172917,1907006-Y10-02,N04,10,10,C7H7FO5S2,CS(c(cccc1)c1OS(F)(=O)=O)(=O)=O,254.2559,100,27521095,0,Achiral,None,2-methanesulfonylphenyl sulfurofluoridate,"-1,075","-1,985",0,4,"77,51",3,8.91677675,5.835543767
fdiAQ`DXIhp@bD`HH}HAdHrFRRUQQJQVQSiZBAXj@@@ !B?[^H_PJHmpJw_[\B?g?~@K]}mwt@?g?~?`C~_?x@@Oy??`,351,Z3919182047,1907006-Y10-02,O04,10,10,C7H4F4O5S2,O=S(C(F)(F)F)(c(cccc1)c1OS(F)(=O)=O)=O,308.2273,100,27521095,0,Achiral,None,2-trifluoromethanesulfonylphenyl sulfurofluoridate,"1,034","-3,445",0,4,"77,51",4,-2.708058124,-7.294429708
fdyAQ@DXHjp@bDaddeTRTvbRehLYZ@HjjJAb@@ !Bm?pBbOvwbOw~_xc}m?w~_?y?bOvw?Xc|?`BH?Xc|bOrH?P,352,Z3919183183,1907006-Y10-02,P04,10,10,C11H13FO5S,O=S(Oc1cc(OC2OCCCC2)ccc1)(F)=O,276.2813,95,27521095,0,Racemic or presumed racemic or meso,None,3-(oxan-2-yloxy)phenyl sulfurofluoridate,"0,872","-2,925",0,4,"61,83",4,5.217965654,3.183023873
fi{pQ@MNJcAK@BHRFRRUQIYJZJIPqRTgKQrt@EMUTuDp}P@ !BtLwRtL?Rs\|lYxANs\|lYrqgs\|lY|wOosDlYvT_@Ox_YQaSFa}gKFT_YuO~@G?~,353,Z4332078996,1907006-Y10-02,A05,10,10,C16H18FN3O4S,C[n]1c(C(CCC2)N2C(Nc(cc2)ccc2OS(F)(=O)=O)=O)ccc1,367.3952,95.8,27521095,0,Racemic or presumed racemic or meso,None,4-{[2-(1-methyl-1H-pyrrol-2-yl)pyrrolidine-1-carbonyl]amino}phenyl sulfurofluoridate,"0,345","-3,205",1,3,"80,64",4,98.98167006,98.36415363
fbuHS@K^beFMF@DPdEAFRRVIKJPjIXThie`@ejVb@@ !Bs|wRs}CRs]B?SbpXs]CMtBpXs]CPtl?Ms]@lF@C~YV@ZXA`l?`@,354,Z2509438673,1907006-Y10-02,B05,10,10,C9H9FN4O4S2,C[n]1nnc(NS(c(cc2)ccc2S(F)(=O)=O)(=O)=O)c1,320.3206,100,27521095,0,Achiral,None,"4-[(1-methyl-1H-1,2,3-triazol-4-yl)sulfamoyl]benzene-1-sulfonyl fluoride","0,946","-2,025",1,6,"111,02",3,27.78864971,22.82263191
f`qaa@NHqH@QBPrRRqYSQILx{tmUL@D@@@ !B?`@@?g?~?g~[fzR[iIo~_{_}bOw~_xc|bGvH?X`B,355,Z2907424248,1907006-Y10-02,C05,10,10,C10H10FNO3S,O=C(c1ccccc1)N(C1)CC1S(F)(=O)=O,243.2547,96.2,27521095,0,Achiral,None,1-benzoylazetidine-3-sulfonyl fluoride,"1,089","-2,908",0,3,"54,45",2,9.262883235,7.692307692
ffcHQ@CVrUFBN@DPdLddjbRrbVTRteN}dlm@AMMKQP@@ !BUHR{UBn{aBm`Fj[@aBm`Ff@ZaBm`FaaSFf@XK@C~KA`@?fU`Ff@XKOx@,356,Z3489904000,1907006-Y10-02,D05,10,10,C12H9FN4O4S,C[n]1ncc(-c2nc(-c(cc3)ccc3OS(F)(=O)=O)n[o]2)c1,324.2877,100,27521095,0,Achiral,None,"4-[5-(1-methyl-1H-pyrazol-4-yl)-1,2,4-oxadiazol-3-yl]phenyl sulfurofluoridate","0,315","-3,418",0,5,"100,11",4,4.566210046,-1.716465353
fhi`S@GHpQP@bDaXHrRRjIJ[QJVoAeh@bfa@@ !BbOpBmwvHmwvw@k]}?`Bw@k\Bmww~@Oy?FEMgTvT_Fa|,357,Z3919180045,1907006-Y10-02,E05,10,10,C9H6FNO4S2,O=S(Oc1cc(Oc2ncc[s]2)ccc1)(F)=O,275.2766,100,27521095,0,Achiral,None,"3-(1,3-thiazol-2-yloxy)phenyl sulfurofluoridate","1,008","-3,719",0,3,"65,49",4,13.28175371,10.23411371
f`q`Q@CHpSp@bDaddeTRTrVdjsiZ@BjR@@ !B?g}??`C~?`Bw@k_}?`Bw@k\B?`Bw?[\BmpJw_[\B,358,Z3919194847,1907006-Y10-02,F05,10,10,C9H8FNO4S,O=C(CC1)Nc(cc2)c1cc2OS(F)(=O)=O,245.2275,100,27521095,0,Achiral,None,"2-oxo-1,2,3,4-tetrahydroquinolin-6-yl sulfurofluoridate","-0,28","-2,23",1,3,"72,47",2,12.76595745,8.227424749
f`qQa@AZQ``@bDaddeTTRbrUYwiZBBaR@@ !Bb@HBm?vHmwvw@k]}?`C~_{\BmpHXTv]S?`AeGqh_,359,Z3950503857,1907006-Y10-02,G05,10,10,C9H7FN2O3S,O=S(Oc(cccc1)c1-[n]1nccc1)(F)=O,242.2269,100,27521095,0,Achiral,None,2-(1H-pyrazol-1-yl)phenyl sulfurofluoridate,"0,62","-2,329",0,3,"61,19",3,4.98945889,5.367793241
ff}QQ@AVQ`al`BHRFRRUQIKSQQKZRdyeh@IjjjH@@ !B@hbw@gvwbOvH?Ox@bOvH@hc|bOvH?_y?bOrH?_x@bOs~_x`B?`C~@H`B,360,Z4262456135,1907006-Y10-02,H05,10,10,C13H17FN2O5S,CCC(C1)OCC(C)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,332.3479,92,27521095,0,Diastereomeric mixture,Unequal mixture of geometric isomers,5-(2-ethyl-5-methylmorpholine-4-carbonyl)pyridin-3-yl sulfurofluoridate,"-0,338","-2,582",0,5,"85,8",4,4.005621926,9.343936382
ff}PQ@AVQ`a`ADICIIJhdeieEDmIVRrt@DtAA@@@ !B_[^H__rHmpJw__y?mpJw?[]}m?rw@ox@mwvw@k]}?`Bw@oy?m?s~@Ox@,361,Z4262555695,1907006-Y10-02,I05,10,10,C14H13FN2O4S,Cc1cc(NC(c2cc(OS(F)(=O)=O)cnc2)=O)c(C)cc1,324.3274,100,27521095,0,Achiral,None,"5-[(2,5-dimethylphenyl)carbamoyl]pyridin-3-yl sulfurofluoridate","0,669","-3,808",1,4,"85,36",4,14.2118863,7.492063492
fbuAS@DXHZp@bDahHrRRjIKJPqIRTgLm@AK@@@@@ !Bb@HBmwvHmww~_{]}bGw~_?y?bOw~_pC~_?{~_{]}bGw~_?y?bGt,362,Z3919176446,1907006-Y10-02,J05,10,10,C12H9FO5S2,O=S(c1ccccc1)(c(cc1)ccc1OS(F)(=O)=O)=O,316.3253,95,27521095,0,Achiral,None,4-(benzenesulfonyl)phenyl sulfurofluoridate,"0,854","-3,91",0,4,"77,51",4,16.9250646,14.6031746
fj}qa@CV\cA@ADICIIJhdiieLdiZ]{IYZ@HZjjF@@ !BFa|_YV@ZYVATaFU`pIeTaERDYVC@fRpXGqiSFOx@QwMGCM?Fw}eml@,363,Z3489904007,1907006-Y10-02,K05,10,10,C13H14FN3O3S,O=S(Oc1cc(-c2nnc3[n]2CCCCC3)ccc1)(F)=O,311.332,100,27521095,0,Achiral,None,"3-{5H,6H,7H,8H,9H-[1,2,4]triazolo[4,3-a]azepin-3-yl}phenyl sulfurofluoridate","0,843","-3,489",0,4,"74,08",3,0.645994832,10.53968254
fjmpS@K^bcFc@BHRB`cIIKDeeHUDdaRbfV@BVffb@@ !Bs|wRs}CRs]B?SbpXs]CMtBpXs]CPtl?Ms]@lF@C~YV@ZXA`lXAk~@@,364,Z1723915473,1907006-Y10-02,L05,10,10,C11H12FN3O4S2,Cc1cc(NS(c(cc2)ccc2S(F)(=O)=O)(=O)=O)n[n]1C,333.3591,97.18,27521095,0,Achiral,None,"4-[(1,5-dimethyl-1H-pyrazol-3-yl)sulfamoyl]benzene-1-sulfonyl fluoride","2,002","-2,495",1,5,"98,13",3,24.81605351,26.4957265
f`aac@KBdXDPPHyHYEEDiDuMFJ``eIj@@@ !B?`BH@k\BbGw~@Ox@?[^H_PJHmpK~@K\Bb@K~@Ha},365,Z2907419998,1907006-Y10-02,M05,10,10,C9H9ClFNO3S,CN(C)C(c(cc1)cc(S(F)(=O)=O)c1Cl)=O,265.6891,98.7,27521095,0,Achiral,None,2-chloro-5-(dimethylcarbamoyl)benzene-1-sulfonyl fluoride,"1,401","-2,825",0,3,"54,45",2,8.89632107,7.692307692
ffcp``MV\c@@bD`VPkHYIIXdlhedhmARlyNYX@JVjjb`@@ !Bs|wRs}CRs]B?SbpXs]CMtBpXs]@BbM~fJxPq`K\B?`B[iJRdiJR[iJRd,366,Z3488675789,1907006-Y10-02,N05,10,10,C13H12F3N3O2S,O=S(c(cc1)ccc1-c1c[n](CC(C2)CC2(F)F)nn1)(F)=O,331.3135,92.32,27521095,0,Achiral,None,"4-{1-[(3,3-difluorocyclobutyl)methyl]-1H-1,2,3-triazol-4-yl}benzene-1-sulfonyl fluoride","2,743","-3,83",0,4,"64,85",4,62.41743725,57.82493369
fhi`Q@CHqpH@bDaddebbRVRTmN}KAAETd@@ !B_[^H?PJHm?s~@K_}b@Jw@k_|?`Bw_[_}mpJw?K]}m?t,367,Z2907439223,1907006-Y10-02,O05,10,10,C10H10FNO4S,COc(cc(CCC(N1)=O)c1c1)c1S(F)(=O)=O,259.2541,91,27521095,0,Achiral,None,"6-methoxy-2-oxo-1,2,3,4-tetrahydroquinoline-7-sulfonyl fluoride","1,712","-1,905",1,4,"72,47",2,8.91677675,9.151193634
ff}QQ@AVQ`ab`BHRFRRUQIKSQRIVR`yeh@IjjjJ@Z@@ !BJ{nDJuRDnuP_YYg_nuP_YQ}enuR{UJ[@GvUgKFT_YuNBBKtH_?x_Fklk,368,Z4262437550,1907006-Y10-02,P05,10,10,C13H17FN2O5S,CC(C)(C(CC1)OC)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,332.3479,100,27521095,0,Racemic or presumed racemic or meso,None,"5-(3-methoxy-2,2-dimethylpyrrolidine-1-carbonyl)pyridin-3-yl sulfurofluoridate","-0,702","-2,385",0,5,"85,8",4,0.594451783,7.957559682
f`a@S@DXHH@QBP}HYIIUEDeheFehHHj@@@ !B?[^H_PJHmpJw_[\B?g?~@K]}mwvw@oy??`Bw_[]},369,Z3919182270,1907006-Y10-02,A06,10,10,C9H10F2O4S,CC(C)Oc(cc(cc1)F)c1OS(F)(=O)=O,252.2351,100,27521095,0,Achiral,None,4-fluoro-2-(propan-2-yloxy)phenyl sulfurofluoridate,"1,606","-2,977",0,3,"52,6",4,5.702647658,3.058321479
fbuAQ@DXTgH@bDaddebRrTRTtEKtYX@J@HX@@@ !B?K^H@gvHm?w~_{_|m?vw?[_|m?vw?Ox@m?vw?K_|?`Bw?Xc|m?p,370,Z7192157721,1907006-Y10-02,B06,10,10,C13H9FO5S,OC(c1cccc(Oc(cc2)ccc2S(F)(=O)=O)c1)=O,296.271,98.68,27521095,0,Achiral,None,3-[4-(fluorosulfonyl)phenoxy]benzoic acid,"4,146","-3,934",1,4,"80,67",4,13.04631442,19.77113795
dg^LPCSB@HbPrRRjIJYRlm@AT@@ !B@hbw@ovwbGvH@ox@bGvH@h`BbGw~@H`Bb@H,371,Z3919192351,1907006-Y10-02,C06,10,10,C8H10FNO3S,CCc(cc(cc1)OS(F)(=O)=O)c1N,219.2333,99.52,27521095,0,Achiral,None,4-amino-3-ethylphenyl sulfurofluoridate,"0,317","-2,782",1,3,"69,39",3,6.523157208,5.657978385
f`q@Q@DXXX@QBPrRRiJIJYZl{tmT@QQ@@@ !B?`@@?g?~?g~H?_y?bGvH@oy?bGvH_V@Z?g|lYvAe,372,Z3333541537,1907006-Y10-02,D06,10,10,C10H11FO4S,O=S(CCOc1cc(OCC2)c2cc1)(F)=O,246.2553,95,27521095,0,Achiral,None,"2-(2,3-dihydro-1-benzofuran-6-yloxy)ethane-1-sulfonyl fluoride","2,047","-2,365",0,4,"52,6",4,4.957599478,1.716465353
